player_id,thrower_x,thrower_y,event_type,dest_x,dest_y,event_name
tedmonds,-8.89,81.89,18,-14.93,75.17,Throw (completion)
aroy,-14.93,75.17,18,-7.18,81.28,Throw (completion)
tedmonds,-7.18,81.28,18,5.52,94.39,Throw (completion)
gnorrbom,5.52,94.39,19,4.08,105.58,Goal
lyorgason,-6.81,23.22,18,3.25,29.03,Throw (completion)
sconnole,3.25,29.03,18,14.41,26.25,Throw (completion)
lyorgason,14.41,26.25,18,-2.29,39.48,Throw (completion)
jkerr,-2.29,39.48,18,-11.45,52.25,Throw (completion)
jmiller,-11.45,52.25,18,-2.1,42.7,Throw (completion)
sconnole,-2.1,42.7,18,-18.8,61.8,Throw (completion)
jkerr,-18.8,61.8,18,-18.61,75.03,Throw (completion)
sconnole,-18.61,75.03,18,-20.42,90.96,Throw (completion)
glindsley,-20.42,90.96,19,-21.13,107.54,Goal
aroy,-15.48,22.92,18,-0.25,19.97,Throw (completion)
jmalks,-0.25,19.97,18,7.79,29.1,Throw (completion)
tedmonds,7.79,29.1,18,-5.05,27.52,Throw (completion)
aroy,-5.05,27.52,18,-18.78,39.33,Throw (completion)
mmcdonnel,-18.78,39.33,22,-2.46,83.94,Throwaway
mmcdonnel,-12.39,68.9,18,-13.56,73.79,Throw (completion)
tmonroe,-13.56,73.79,18,-2.92,73.23,Throw (completion)
jwodatch1,-2.92,73.23,18,-9.92,71.94,Throw (completion)
tmonroe,-9.92,71.94,18,-16.24,70.36,Throw (completion)
jmalks,-16.24,70.36,18,-6.29,72.9,Throw (completion)
mmcdonnel,-6.29,72.9,18,1.54,71.94,Throw (completion)
tmonroe,1.54,71.94,18,-13.22,83.34,Throw (completion)
aroy,-13.22,83.34,18,-3.27,77.84,Throw (completion)
tmonroe,-3.27,77.84,18,4.01,78.67,Throw (completion)
aroy,4.01,78.67,18,-4.16,79.01,Throw (completion)
cjurek,-4.16,79.01,19,-17.82,104.07,Goal
lyorgason,15.83,14.12,18,6.35,23.8,Throw (completion)
sconnole,6.35,23.8,18,-6.74,22.45,Throw (completion)
lyorgason,-6.74,22.45,20,-4.57,42.57,Drop
cjurek,1.68,71.32,18,-8.62,70.84,Throw (completion)
cjurek,0.58,82.86,18,7.37,79.29,Throw (completion)
cjurek,-0.79,76.68,18,-9.1,75.3,Throw (completion)
cjurek,-14.32,80.04,18,-17.47,75.24,Throw (completion)
lyorgason,0.53,27.09,18,6.54,24.06,Throw (completion)
jmiller,6.54,24.06,18,8.93,19.54,Throw (completion)
lyorgason,8.93,19.54,18,-4.36,23.74,Throw (completion)
jmiller,-4.36,23.74,18,-15.0,26.83,Throw (completion)
glindsley,-15.0,26.83,18,-19.32,42.96,Throw (completion)
wselfridg,-19.32,42.96,18,-7.91,46.45,Throw (completion)
jkerr,-7.91,46.45,19,-1.97,107.54,Goal
gnorrbom,-1.34,11.94,18,2.57,36.52,Throw (completion)
tedmonds,2.57,36.52,18,1.2,93.36,Throw (completion)
ebonnet,1.2,93.36,19,7.72,105.24,Goal
glindsley,-8.55,18.45,18,-10.74,30.19,Throw (completion)
lyorgason,-10.74,30.19,18,-19.32,34.32,Throw (completion)
jkerr,-19.32,34.32,18,-2.49,27.22,Throw (completion)
glindsley,-2.49,27.22,18,-7.0,42.77,Throw (completion)
wselfridg,-7.0,42.77,18,9.06,58.58,Throw (completion)
lyorgason,9.06,58.58,18,8.93,80.12,Throw (completion)
jkerr,8.93,80.12,19,-8.36,113.35,Goal
jmalks,0.0,40.0,18,-10.88,44.69,Throw (completion)
gnorrbom,-10.88,44.69,18,-3.81,51.62,Throw (completion)
ebonnet,-3.81,51.62,18,-12.46,76.13,Throw (completion)
cjurek,-12.46,76.13,18,-2.3,73.59,Throw (completion)
mmcdonnel,-2.3,73.59,18,2.43,71.18,Throw (completion)
gnorrbom,2.43,71.18,18,-2.99,71.05,Throw (completion)
mmcdonnel,-2.99,71.05,18,2.43,69.33,Throw (completion)
jmalks,2.43,69.33,18,8.33,69.33,Throw (completion)
tmonroe,8.33,69.33,18,9.78,94.73,Throw (completion)
jmalks,9.78,100.0,19,1.88,105.37,Goal
jmiller,-0.81,7.35,18,7.96,22.19,Throw (completion)
sconnole,7.96,22.19,18,-4.62,26.19,Throw (completion)
